"","Species","Mass_g","Binomial","GBIF_ID"
"1112","Diplogale hosei",5452.04,"Diplogale_hosei","2434672"
"1113","Diplomesodon pulchellum",10.5,"Diplomesodon_pulchellum","2435917"
"1114","Diplomys caniceps",394.49,"Diplomys_caniceps","2439804"
"1115","Diplomys labilis",282.17,"Diplomys_labilis","2439803"
"1116","Diplomys rufodorsalis",144.8,"Diplomys_rufodorsalis","2439802"
"1117","Dipodillus campestris",27.99,"Dipodillus_campestris","4264986"
"1118","Dipodillus dasyurus",27.5,"Dipodillus_dasyurus","4264993"
"1119","Dipodillus simoni",24.4,"Dipodillus_simoni","4264983"
"1120","Dipodillus somalicus",28.4,"Dipodillus_somalicus","4264984"
"1121","Dipodillus stigmonyx",28.4,"Dipodillus_stigmonyx","4264990"
"1122","Dipodomys agilis",60.57,"Dipodomys_agilis","2439534"
"1123","Dipodomys californicus",65,"Dipodomys_californicus","2439546"
"1124","Dipodomys compactus",49.25,"Dipodomys_compactus","2439520"
"1125","Dipodomys deserti",106.75,"Dipodomys_deserti","2439535"
"1126","Dipodomys elator",105.82,"Dipodomys_elator","2439549"
"1127","Dipodomys gravipes",83.96,"Dipodomys_gravipes","2439544"
"1128","Dipodomys heermanni",64.15,"Dipodomys_heermanni","2439536"
"1129","Dipodomys ingens",122.805,"Dipodomys_ingens","2439550"
"1130","Dipodomys merriami",37.805,"Dipodomys_merriami","2439521"
"1131","Dipodomys microps",55.16,"Dipodomys_microps","2439510"
"1132","Dipodomys nelsoni",87.93,"Dipodomys_nelsoni","2439545"
"1133","Dipodomys nitratoides",37.8,"Dipodomys_nitratoides","2439524"
"1134","Dipodomys ordii",49.6,"Dipodomys_ordii","2439541"
"1135","Dipodomys panamintinus",56.58,"Dipodomys_panamintinus","2439513"
"1136","Dipodomys phillipsii",41,"Dipodomys_phillipsii","2439519"
"1137","Dipodomys spectabilis",124.61,"Dipodomys_spectabilis","2439531"
"1138","Dipodomys stephensi",66.495,"Dipodomys_stephensi","2439542"
"1139","Dipodomys venustus",82,"Dipodomys_venustus","2439514"
"1140","Dipus sagitta",89,"Dipus_sagitta","2439463"
"1141","Distoechurus pennatus",52.12,"Distoechurus_pennatus","2440108"
"1142","Dobsonia anderseni",312.4,"Dobsonia_anderseni","4265728"
"1143","Dobsonia beauforti",165.35,"Dobsonia_beauforti","2432831"
"1144","Dobsonia chapmani",269.61,"Dobsonia_chapmani","2432826"
"1145","Dobsonia crenulata",229.435,"Dobsonia_crenulata","4265729"
"1146","Dobsonia emersa",201.06,"Dobsonia_emersa","2432830"
"1147","Dobsonia exoleta",302.03,"Dobsonia_exoleta","2432823"
"1148","Dobsonia inermis",152.6,"Dobsonia_inermis","2432829"
"1149","Dobsonia magna",417.15,"Dobsonia_magna","4265730"
"1150","Dobsonia minor",80.1,"Dobsonia_minor","2432825"
"1151","Dobsonia moluccensis",404.3,"Dobsonia_moluccensis","2432822"
"1152","Dobsonia pannietensis",358.35,"Dobsonia_pannietensis","2432828"
"1153","Dobsonia peronii",226.51,"Dobsonia_peronii","7261753"
"1154","Dobsonia praedatrix",179.12,"Dobsonia_praedatrix","2432821"
"1155","Dobsonia viridis",240.66,"Dobsonia_viridis","2432827"
"1156","Dolichotis patagonum",12500,"Dolichotis_patagonum","2437619"
"1157","Dolichotis salinicola",1610.3,"Dolichotis_salinicola","2437618"
"1158","Dologale dybowskii",361.92,"Dologale_dybowskii","2434115"
"1159","Dorcatragus megalotis",10918.12,"Dorcatragus_megalotis","2441197"
